"alarm","date","activity","happy","content","relaxed","horny"
2021-02-03T16:01,2021-02-03T16:01,"",47,43,48,
2021-02-03T16:47,2021-02-03T16:47,"",54,53,52,
2021-02-03T20:04,2021-02-03T20:04,"",53,49,53,
2021-02-04T10:14,2021-02-04T10:14,"",54,59,58,
2021-02-04T10:29,2021-02-04T10:29,"",55,59,56,
2021-02-04T10:49,2021-02-04T10:49,"",54,55,54,
2021-02-04T11:21,2021-02-04T11:21,"",51,53,51,
2021-02-04T13:24,2021-02-04T13:24,"",54,58,59,
2021-02-04T15:17,2021-02-04T15:17,"",48,46,48,
2021-02-05T09:55,2021-02-05T09:55,"",52,56,55,
2021-02-05T10:56,2021-02-05T10:56,"",53,57,52,
2021-02-05T11:27,2021-02-05T11:27,"",52,51,52,
2021-02-05T12:29,2021-02-05T12:29,"",48,45,45,
2021-02-05T15:01,2021-02-05T15:01,"",57,52,53,
2021-02-05T15:46,2021-02-05T15:46,"",48,47,45,
2021-02-05T20:38,2021-02-05T20:38,"",55,53,54,
2021-02-05T21:09,2021-02-05T21:09,"",49,46,47,
2021-02-05T21:55,2021-02-05T21:55,"",46,46,48,
2021-02-06T14:45,2021-02-06T14:45,"",55,56,56,
2021-02-06T20:17,2021-02-06T20:17,"",54,57,54,
2021-02-07T08:33,2021-02-07T08:33,"",55,56,59,
2021-02-07T11:04,2021-02-07T11:04,"",46,52,55,
2021-02-07T13:13,2021-02-07T13:13,"",51,55,56,
2021-02-08T10:49,2021-02-08T10:49,"",51,47,48,
2021-02-08T11:04,2021-02-08T11:04,"",55,58,54,
2021-02-08T12:22,2021-02-08T12:22,"",52,54,52,
2021-02-08T14:07,2021-02-08T14:07,"",52,56,58,
2021-02-08T14:25,2021-02-08T14:25,"",48,54,52,
2021-02-08T18:00,2021-02-08T18:00,"",54,57,55,
2021-02-08T21:02,2021-02-08T21:02,"",52,52,51,
2021-02-09T10:31,2021-02-09T10:31,"",49,46,47,
2021-02-09T12:21,2021-02-09T12:21,"",53,56,54,
2021-02-09T13:24,2021-02-09T13:24,"",54,57,55,
2021-02-09T13:56,2021-02-09T13:56,"",59,56,60,
2021-02-09T14:12,2021-02-09T14:12,"",49,53,54,
2021-02-09T14:42,2021-02-09T14:42,"",52,48,47,
2021-02-09T14:57,2021-02-09T14:57,"",55,58,56,
2021-02-09T16:33,2021-02-09T16:33,"",53,56,55,
2021-02-09T17:18,2021-02-09T17:18,"",57,54,52,
2021-02-09T18:12,2021-02-09T18:12,"",52,57,55,
2021-02-09T18:43,2021-02-09T18:43,"",48,46,47,
2021-02-09T18:58,2021-02-09T18:58,"",,,,
2021-02-09T20:17,2021-02-09T20:17,"",46,46,48,
2021-02-10T10:23,2021-02-10T10:23,"",49,53,55,
2021-02-10T10:38,2021-02-10T10:38,"",,,,
2021-02-10T12:55,2021-02-10T12:55,"",50,55,57,
2021-02-10T13:41,2021-02-10T13:41,"",49,48,45,
2021-02-10T14:35,2021-02-10T14:35,"",56,57,54,
2021-02-10T16:58,2021-02-10T16:58,"",50,47,59,
2021-02-10T19:14,2021-02-10T19:14,"",55,62,61,
2021-02-10T20:15,2021-02-10T20:15,"",52,58,57,
2021-02-10T20:30,2021-02-10T20:30,"",54,56,55,
2021-02-10T21:00,2021-02-10T21:00,"",52,55,55,
2021-02-11T09:01,2021-02-11T09:01,"",51,53,55,
2021-02-11T11:10,2021-02-11T11:10,"",52,54,53,
2021-02-11T11:25,2021-02-11T11:25,"",51,54,55,
2021-02-11T12:29,2021-02-11T12:29,"",50,47,51,
2021-02-11T13:36,2021-02-11T13:36,"",53,55,56,
2021-02-11T16:40,2021-02-11T16:40,"",53,54,53,
2021-02-11T20:29,2021-02-11T20:29,"",48,46,47,
2021-02-12T08:37,2021-02-12T08:37,"",47,51,52,
2021-02-12T10:24,2021-02-12T10:24,"",51,53,49,
2021-02-12T11:25,2021-02-12T11:25,"",49,48,48,
2021-02-12T11:40,2021-02-12T11:40,"",48,48,47,
2021-02-12T12:28,2021-02-12T12:28,"",47,46,46,
2021-02-12T14:09,2021-02-12T14:09,"",47,46,48,
2021-02-12T15:11,2021-02-12T15:11,"",52,48,48,
2021-02-12T16:29,2021-02-12T16:29,"",55,54,54,
2021-02-12T17:34,2021-02-12T17:34,"",47,46,47,
2021-02-12T21:52,2021-02-12T21:52,"",48,46,47,
2021-02-13T10:31,2021-02-13T10:31,"",53,56,55,
2021-02-13T15:27,2021-02-13T15:27,"",56,55,54,
2021-02-13T16:16,2021-02-13T16:16,"",53,56,58,
2021-02-13T16:49,2021-02-13T16:49,"",52,53,53,
2021-02-13T17:21,2021-02-13T17:21,"",56,54,53,
2021-02-13T17:36,2021-02-13T17:36,"",51,51,52,
2021-02-13T18:25,2021-02-13T18:25,"",53,53,56,
2021-02-13T18:40,2021-02-13T18:40,"",49,47,49,
2021-02-13T19:45,2021-02-13T19:45,"",52,54,55,
2021-02-13T20:00,2021-02-13T20:00,"",48,47,52,
2021-02-14T09:37,2021-02-14T09:37,"",51,56,57,
2021-02-14T10:25,2021-02-14T10:25,"",48,45,54,
2021-02-14T11:57,2021-02-14T11:57,"",54,55,55,
2021-02-14T13:12,2021-02-14T13:12,"",47,41,52,
2021-02-15T08:14,2021-02-15T08:14,"",52,55,56,
2021-02-15T08:19,2021-02-15T08:19,"",53,55,53,
2021-02-15T09:37,2021-02-15T09:37,"",52,51,48,
2021-02-15T10:45,2021-02-15T10:45,"",52,55,54,
2021-02-15T12:02,2021-02-15T12:02,"",55,58,58,
2021-02-15T13:07,2021-02-15T13:07,"",53,53,49,
2021-02-15T13:22,2021-02-15T13:22,"",52,53,52,
2021-02-15T14:12,2021-02-15T14:12,"",49,48,51,
2021-02-15T15:46,2021-02-15T15:46,"",52,48,45,
2021-02-15T16:47,2021-02-15T16:47,"",54,59,48,
2021-02-15T17:18,2021-02-15T17:18,"",53,52,55,
2021-02-16T09:56,2021-02-16T09:56,"",55,56,55,
2021-02-16T12:29,2021-02-16T12:29,"",52,54,53,
2021-02-16T14:18,2021-02-16T14:18,"",51,52,56,
2021-02-16T16:51,2021-02-16T16:51,"",54,58,48,
2021-02-16T17:23,2021-02-16T17:23,"",51,55,55,
2021-02-16T18:28,2021-02-16T18:28,"",52,54,55,
2021-02-16T20:32,2021-02-16T20:32,"",57,48,56,
2021-02-17T08:04,2021-02-17T08:04,"",49,56,57,
2021-02-17T08:11,2021-02-17T08:11,"",48,47,47,
2021-02-17T14:54,2021-02-17T14:54,"",44,42,48,
2021-02-17T15:27,2021-02-17T15:27,"",48,46,49,
2021-02-17T16:57,2021-02-17T16:57,"",51,52,42,
2021-02-17T17:43,2021-02-17T17:43,"",51,47,54,
2021-02-17T20:15,2021-02-17T20:15,"",49,53,55,
2021-02-18T09:41,2021-02-18T09:41,"",49,49,55,
2021-02-18T12:17,2021-02-18T12:17,"",51,48,55,
2021-02-18T13:20,2021-02-18T13:20,"",54,52,55,
2021-02-18T14:09,2021-02-18T14:09,"",49,48,51,
2021-02-18T14:42,2021-02-18T14:42,"",51,53,54,
2021-02-18T19:52,2021-02-18T19:52,"",53,55,57,
2021-02-19T09:38,2021-02-19T09:38,"",52,55,55,
2021-02-19T11:00,2021-02-19T11:00,"",51,53,48,
2021-02-19T12:48,2021-02-19T12:48,"",52,56,55,
2021-02-19T13:19,2021-02-19T13:19,"",54,55,54,
2021-02-19T16:59,2021-02-19T16:59,"",52,55,54,
2021-02-19T17:14,2021-02-19T17:14,"",53,54,56,
2021-02-20T10:20,2021-02-20T10:20,"",55,56,56,
2021-02-20T11:20,2021-02-20T11:20,"",53,52,53,
2021-02-20T11:50,2021-02-20T11:50,"",55,56,55,
2021-02-20T13:23,2021-02-20T13:23,"",52,55,56,
2021-02-20T15:42,2021-02-20T15:42,"",45,43,51,
2021-02-20T19:29,2021-02-20T19:29,"",53,57,56,
2021-02-21T10:59,2021-02-21T10:59,"",54,53,54,
2021-02-21T11:44,2021-02-21T11:44,"",48,46,52,
2021-02-21T14:25,2021-02-21T14:25,"",48,48,52,
2021-02-21T19:03,2021-02-21T19:03,"",52,55,55,
2021-02-21T20:50,2021-02-21T20:50,"",54,56,53,
2021-02-22T10:45,2021-02-22T10:45,"",53,55,53,
2021-02-22T11:17,2021-02-22T11:17,"",52,48,48,
2021-02-22T12:19,2021-02-22T12:19,"",52,54,52,
2021-02-22T15:58,2021-02-22T15:58,"",54,54,56,
2021-02-22T16:50,2021-02-22T16:50,"",55,56,57,
2021-02-23T08:23,2021-02-23T08:23,"",52,54,55,
2021-02-23T08:32,2021-02-23T08:32,"",51,53,55,
2021-02-23T09:43,2021-02-23T09:43,"",52,53,51,
2021-02-23T10:14,2021-02-23T10:14,"",52,53,55,
2021-02-23T15:34,2021-02-23T15:34,"",53,53,54,
2021-02-23T15:52,2021-02-23T15:52,"",55,52,53,
2021-02-23T17:09,2021-02-23T17:09,"",49,48,52,
2021-02-23T17:24,2021-02-23T17:24,"",,,,
2021-02-23T17:43,2021-02-23T17:43,"",,,,
2021-02-23T19:41,2021-02-23T19:41,"",55,58,56,
2021-02-24T10:00,2021-02-24T10:00,"",54,56,56,
2021-02-24T11:17,2021-02-24T11:17,"",50,53,56,
2021-02-24T11:32,2021-02-24T11:32,"",52,56,54,
2021-02-24T11:48,2021-02-24T11:48,"",48,49,52,
2021-02-24T15:19,2021-02-24T15:19,"",52,54,51,
2021-02-24T15:49,2021-02-24T15:49,"",49,47,52,
2021-02-24T16:07,2021-02-24T16:07,"",52,50,53,
2021-02-24T16:59,2021-02-24T16:59,"",,,,
2021-02-24T17:00,2021-02-24T17:00,"",55,56,55,
2021-02-24T22:39,2021-02-24T22:39,"",54,56,57,
2021-02-25T08:06,2021-02-25T08:06,"",49,53,54,
2021-02-25T11:06,2021-02-25T11:06,"",53,55,49,
2021-02-25T13:00,2021-02-25T13:00,"",52,53,51,
2021-02-25T13:34,2021-02-25T13:34,"",48,52,52,
2021-02-25T14:34,2021-02-25T14:34,"",54,54,55,
2021-02-25T17:00,2021-02-25T17:00,"",49,48,47,
2021-02-25T17:44,2021-02-25T17:44,"",50,51,55,
2021-02-25T17:59,2021-02-25T17:59,"",51,50,52,
2021-02-25T18:44,2021-02-25T18:44,"",,,,
2021-02-25T20:01,2021-02-25T20:01,"",,,,
2021-02-25T20:32,2021-02-25T20:32,"",52,55,55,
2021-02-25T21:21,2021-02-25T21:21,"",,,,
2021-02-26T09:12,2021-02-26T09:12,"",53,56,53,
2021-02-26T11:37,2021-02-26T11:37,"",53,52,54,
2021-02-26T12:42,2021-02-26T12:42,"",56,54,54,
2021-02-26T14:36,2021-02-26T14:36,"",51,52,53,
2021-02-26T16:40,2021-02-26T16:40,"",52,56,44,
