datetime,enjoyment,methods
2022-11-23T23:27:50+01:00,0.2,t
2022-11-29T00:28:24+01:00,0.3,t
2022-11-29T11:37:24+01:00,0.1,t
2022-11-29T23:59:43+01:00,0.5,t
2022-11-30T22:54:53+01:00,0.3,t
2022-12-02T12:00:00+01:00,0.55,t
2022-12-04T03:20:41+01:00,0.5,av
2022-12-04T04:45:32+01:00,0.15,av
2022-12-04T21:45:47+01:00,0.4,av
2022-12-06T01:58:59+01:00,0.3,t
2022-12-18T19:48:31+01:00,0.25,t
2022-12-18T22:54:32+01:00,0.15,t
2022-12-23T00:40:08+01:00,0.35,av
2022-12-23T13:40:11+01:00,0.2,av
2022-12-25T02:18:48+01:00,0.4,av
2022-12-26T01:30:00+01:00,0.25,av
2022-12-27T00:57:00+01:00,0.15,av
2022-12-28T11:15:00+01:00,0.2,av
2022-12-29T11:15:00+01:00,0.2,av
2022-12-29T20:40:00+01:00,0.3,av
2022-12-31T02:08:00+01:00,0.23,av
2023-01-01T05:20:00+01:00,0.2,av
2023-01-02T03:45:00+01:00,0.2,av
2023-01-03T03:05:00+01:00,0.3,t
2023-01-06T23:38:00+01:00,0.35,t
2023-01-07T00:03:19+01:00,0.4,a
2023-01-09T01:00:28+01:00,0.45,a
2023-01-09T10:01:56+01:00,0.1,a
2023-01-11T11:31:35+01:00,0.35,t
2023-01-11T12:31:41+01:00,0.25,av
2023-01-12T11:15:55+01:00,0.15,t
2023-01-16T01:49:07+01:00,0.65,a
2023-01-18T21:45:19+01:00,0.75,
2023-01-21T12:56:54+01:00,0.3,t
2023-01-21T23:13:30+01:00,0.4,a
2023-01-23T06:37:21+01:00,0.15,t
2023-01-24T23:57:51+01:00,0.5,a
2023-01-27T00:14:08+01:00,0.25,t
2023-01-29T21:59:22+01:00,0.45,av
2023-01-31T00:02:47+01:00,0.25,t
2023-01-31T15:15:02+01:00,0.15,t
2023-02-02T13:12:49+01:00,0.25,t
2023-02-02T23:31:43+01:00,0.1,t
2023-02-04T21:24:02+01:00,0.2,t
2023-02-09T21:18:16+01:00,0.2,t
2023-02-21T18:40:35+01:00,0.3,t
2023-02-25T14:36:56+01:00,0.35,t
2023-02-27T22:51:27+01:00,0.3,t
2023-03-02T01:05:30+01:00,0.5,av
2023-03-02T04:56:36+01:00,0.45,av
2023-03-02T22:46:40+01:00,0.15,av
2023-03-04T04:20:00+01:00,0.05,av
2023-03-05T15:04:33+01:00,0.3,av
2023-03-07T15:02:35+01:00,0.35,av
2023-03-07T22:40:49+01:00,0.2,av
2023-03-11T04:28:00+02:00,0.2,av
2023-03-11T16:30:28+01:00,0.2,av
2023-03-11T19:25:02+01:00,0.2,av
2023-03-13T00:40:13+01:00,0.15,t
2023-03-13T11:40:41+01:00,0.05,t
2023-03-16T01:55:12+01:00,0.45,ta
2023-03-16T22:51:32+01:00,0.35,t
2023-03-18T03:22:23+01:00,0.25,t
2023-03-19T02:54:10+01:00,0.3,av
2023-03-19T11:13:07+01:00,0.1,av
2023-03-24T01:33:44+01:00,0.25,av
2023-03-25T04:00:12+02:00,0.4,
2023-03-26T04:24:56+02:00,0.17,av
2023-03-27T12:50:14+02:00,0.2,av
2023-03-29T02:10:55+02:00,0.35,av
2023-04-03T13:24:43+02:00,0.25,t
2023-04-18T00:58:27+02:00,0.35,t
2023-04-18T17:05:38+02:00,0.25,t
2023-04-21T02:44:00+02:00,0.1,av
2023-04-23T03:19:27+02:00,0.3,av
2023-05-01T23:45:21+02:00,0.75,ti
2023-05-03T02:47:56+02:00,0.5,
2023-05-06T01:31:14+02:00,0.6,t
2023-05-19T02:48:37+02:00,0.4,ti
2023-05-22T14:40:37+02:00,0.55,v
2023-05-24T02:36:37+02:00,0.45,tv
2023-05-24T23:58:33+02:00,0.45,av
2023-05-28T14:09:37+02:00,0.5,i
2023-06-05T19:30:37+02:00,0.8,t
2023-06-08T15:04:24+02:00,0.35,t
2023-06-19T14:29:31+02:00,0.45,i
2023-06-27T03:30:29+02:00,0.55,
2023-06-27T16:21:33+02:00,0.1,t
2023-07-05T13:39:33+02:00,0.4,ta
2023-07-08T02:38:49+02:00,0.3,av
