Depart,Start,End,Return,First,Last,Amount
2022-02-13T16:07:00,2022-02-13T16:18:00,2022-02-13T17:22:00,2022-02-13T17:43:00,257,257,0
2022-02-14T16:17:00,2022-02-14T16:26:00,2022-02-14T18:53:00,2022-02-14T19:06:00,257,260,3
2022-02-15T16:44:00,2022-02-15T16:50:00,2022-02-15T17:41:00,2022-02-15T17:50:00,260,260,0
2022-02-16T16:09:00,2022-02-16T16:20:00,2022-02-16T19:18:00,2022-02-16T19:38:00,260,264,4
2022-02-17T16:29:00,2022-02-17T16:38:00,2022-02-17T19:30:00,2022-02-17T19:44:00,264,272,8
2022-02-18T16:15:00,2022-02-18T16:30:00,2022-02-18T18:34:00,2022-02-18T18:46:00,272,278,6
2022-02-19T12:37:00,2022-02-19T12:48:00,2022-02-19T16:34:00,2022-02-19T17:35:00,278,292,14
2022-02-22T16:30:00,2022-02-22T16:43:00,2022-02-22T19:24:00,2022-02-22T19:53:00,292,299,7
2022-02-23T17:19:00,2022-02-23T17:31:00,2022-02-23T19:52:00,2022-02-23T20:04:00,299,303,4
2022-02-24T16:58:00,2022-02-24T17:12:00,2022-02-24T19:39:00,2022-02-24T19:53:00,303,312,9
2022-02-25T17:34:00,2022-02-25T18:15:00,2022-02-25T18:58:00,2022-02-25T19:30:00,312,313,1
2022-02-26T12:00:00,2022-02-26T12:40:00,2022-02-26T15:21:00,2022-02-26T16:30:00,313,331,18
2022-02-28T17:36:00,2022-02-28T17:36:00,2022-02-28T18:37:00,2022-02-28T18:37:00,331,335,4
2022-03-05T12:11:00,2022-03-05T12:35:00,2022-03-05T17:00:00,2022-03-05T23:30:00,335,349,14
2022-03-09T15:55:00,2022-03-09T16:03:00,2022-03-09T17:53:00,2022-03-09T23:00:00,349,349,0
2022-03-10T13:30:00,2022-03-10T13:42:00,2022-03-10T16:39:00,2022-03-10T16:39:00,349,351,2
2022-03-10T17:04:00,2022-03-10T17:04:00,2022-03-10T18:05:00,2022-03-10T18:27:00,351,355,4
2022-03-11T17:35:00,2022-03-11T18:21:00,2022-03-11T19:16:00,2022-03-11T20:00:00,355,355,0
2022-03-12T12:43:00,2022-03-12T14:05:00,2022-03-12T16:04:00,2022-03-12T17:25:00,355,365,10
2022-03-14T16:00:00,2022-03-14T16:41:00,2022-03-14T18:16:00,2022-03-14T23:45:00,365,367,2
2022-04-25T18:15:00,2022-04-25T18:25:00,2022-04-25T19:30:00,2022-04-25T19:48:00,367,367,0
2022-05-05T17:18:00,2022-05-05T17:33:00,2022-05-05T19:00:00,2022-05-05T19:15:00,367,367,0
2022-05-06T17:25:00,2022-05-06T17:54:00,2022-05-06T19:10:00,2022-05-06T19:20:00,367,367,0
2022-05-09T18:33:00,2022-05-09T18:33:00,2022-05-09T19:00:00,2022-05-09T21:00:00,367,367,0
2022-05-10T16:30:00,2022-05-10T17:00:00,2022-05-10T19:20:00,2022-05-10T21:05:00,367,367,0
2022-05-11T16:20:00,2022-05-11T16:35:00,2022-05-11T17:28:00,2022-05-11T17:28:00,367,367,0
2022-05-12T17:10:00,2022-05-12T17:20:00,2022-05-12T19:15:00,2022-05-12T19:30:00,367,368,1
2022-07-15T19:05:00,2022-07-15T19:05:00,2022-07-15T20:00:00,2022-07-15T20:15:00,368,368,0
2022-10-31T17:50:00,2022-10-31T18:05:00,2022-10-31T19:15:00,2022-10-31T19:28:00,368,368,0
2022-11-02T18:46:00,2022-11-02T18:46:00,2022-11-02T19:49:00,2022-11-02T19:49:00,368,368,0
2022-11-04T17:45:00,2022-11-04T18:18:00,2022-11-04T18:45:00,2022-11-04T18:45:00,368,368,0
2022-11-07T17:20:00,2022-11-07T17:40:00,2022-11-07T18:45:00,2022-11-07T18:58:00,368,368,0
2022-11-10T17:35:00,2022-11-10T17:50:00,2022-11-10T18:55:00,2022-11-10T19:10:00,368,368,0
2022-11-11T18:10:00,2022-11-11T18:22:00,2022-11-11T19:02:00,2022-11-11T19:18:00,368,368,0
2022-11-12T13:45:00,2022-11-12T14:05:00,2022-11-12T16:05:00,2022-11-12T16:12:00,368,373,5
2022-11-14T17:22:00,2022-11-14T17:35:00,2022-11-14T18:33:00,2022-11-14T18:50:00,373,373,0
2022-11-15T17:22:00,2022-11-15T17:34:00,2022-11-15T19:00:00,2022-11-15T19:11:00,373,373,0
2022-11-16T18:45:00,2022-11-16T18:45:00,2022-11-16T19:04:00,2022-11-16T19:04:00,373,373,0
2022-11-17T17:40:00,2022-11-17T17:55:00,2022-11-17T19:00:00,2022-11-17T19:11:00,373,375,2
2022-11-19T14:00:00,2022-11-19T14:35:00,2022-11-19T16:49:00,2022-11-19T17:40:00,375,381,6
2022-11-21T18:05:00,2022-11-21T18:14:00,2022-11-21T19:07:00,2022-11-21T19:19:00,381,382,1
2022-11-22T18:00:00,2022-11-22T18:19:00,2022-11-22T19:45:00,2022-11-22T20:10:00,382,382,0
2022-11-23T17:25:00,2022-11-23T17:45:00,2022-11-23T18:49:00,2022-11-23T19:17:00,382,382,0
2022-11-24T17:45:00,2022-11-24T17:55:00,2022-11-24T19:50:00,2022-11-24T20:15:00,382,383,1
2022-11-25T17:11:00,2022-11-25T17:35:00,2022-11-25T18:40:00,2022-11-25T19:05:00,383,386,3
2022-11-26T14:00:00,2022-11-26T14:31:00,2022-11-26T16:20:00,2022-11-26T16:45:00,386,393,7
2022-11-28T17:31:00,2022-11-28T17:42:00,2022-11-28T20:04:00,2022-11-28T20:30:00,393,397,4
